;Unnamed: 0;Отметка времени;Ваш пол;Ваш возраст;Укажите вашу профессию, по которой вы работает сейчас (если вы фрилансер - укажите основное поле деятельности);Unnamed: 4;Вам нравится ваша профессия? Не по зарплате, не по удобствам и т. д., а именно сама деятельность.;Сколько лет вы работаете по профессии?;Я могу объяснить свои действия [■];Другие не видят меня таким, каким себя вижу я [■];Я принимаю критику со стороны других людей [■];Я могу точно описать, что я чувствую [■];Вещи, которые случаются в моей жизни, имеют для меня какой-либо смысл [■];Я остаюсь спокойным даже в сложных ситуациях [■];Я склонен к вспышкам гнева [■];Я чувствую себя несчастным [■];Меня раздражают различные вещи, другие люди или я сам [■];Я могу увлечься и сделать что-то о чем буду потом жалеть [■];Я уверен в своих целях на будущее [■];Моя карьера движется в правильном направлении [■];Мне трудно оставаться энтузиастом, когда я встречаюсь с трудностями [■];Я чувствую себя воодушевленным, когда думаю о своих целях [■];Я последовательно двигаясь к достижению своих целей [■];Мои коллеги необщительны [■];Я хорошо лажу со своими коллегами [■];Я легко могу понять, что чувствуют другие люди [■];Я не могу предсказать, как мои коллеги поведут себя в различных ситуациях [■];Людям больше нравится работать со мной, чем с другими  [■];Я встречаю людей с тяжелым характером [■];Я часто добиваюсь взаимовыгодных результатов [■];Я чувствую себя не комфортно, когда другие люди не могут сдержать эмоции [■];У меня быстро заканчивается терпение с некомпетентными людьми [■];Я душа компании [■];Я немного беспокоюсь за других [■];Я всегда готов к неожиданным ситуациям [■];Я не стрессоустойчивый [■];У меня богатый словарный запас [■];Я не многословен [■];Я заинтересован в людях [■];Я часто разбрасываю свои вещи повсюду [■];Я почти всегда спокоен [■];У меня есть сложности с пониманием абстракций [■];Я чувствую себя комфортно в компаниях людей [■];Я часто оскорбляю людей [■];Я уделяю внимание деталям [■];Я беспокоюсь о разных вещах [■];У меня богатое воображение [■];В компании я держусь на заднем плане [■];Я понимаю эмоции других людей [■];Я не очень люблю убирать за собой мусор [■];Я редко чувствую грусть [■];Меня не особо интресовала математика [■];Обычно я первый начинаю разговор [■];Меня мало интересуют проблемы друзей [■];Я предпочитаю выполнять всю работу по дому сразу [■];Меня легко отвлечь [■];В моей голове много отличных идей [■];Мне мало есть, что сказать [■];Я добрый [■];Я часто забываю положить вещи обратно [■];Я легко расстраиваюсь [■];Мне сложно представить несуществующий объект [■];Я разговариваю со многими людьми на встречах [■];Меня не заботит, чем живут окружающие [■];Я люблю порядок [■];Переходы от грусти к радости у меня могут происходить несколько раз за день [■];Я быстро осваиваю что-то новое [■];Я не люблю быть в центре внимания [■];Я уделяю время на других [■];Я уклоняюсь от своих обязанностей [■];У меня бывают частые перепады настроения [■];Я использую сложные выражения в речи [■];Мне нравится, когда меня слушают люди [■];Я чувствую эмоции других людей [■];Я следую расписанию [■];Я раздражительный [■];Я трачу время на обдумывание произошедшего [■];Я веду себя тихо среди незнакомцев [■];Мне легко повлиять на чувства людей [■];Я люблю то, чем я занимаюсь [■];На меня часто находит хандра [■];Мне не хватает времени, чтобы воплотить все мои задумки [■];Я легко знакомлюсь с людьми;Мне нравится что-нибудь мастерить;Я люблю посещать музеи, театры и выставки;Мне нравиться присматривать за  животными;Мне обычно нравиться что-то вычислять, чертить чертежи или составлять графики;Я легко нахожу язык со сверстниками или детьми;Я с удовольствием ухаживаю за растениями;Я пишу почти без ошибок;Мои поделки обычно интересны другим людям;Мне говорили, что у меня есть художественные способности;Я люблю читать об окружающей природе;Я бы хотел принять участие в спектакле или концерте;Я люблю читать про устройство разных приборов и механизмов;Мне нравятся разгадывать  различные головоломки и ребусы;Я легко улаживаю разногласия между людьми;Мне говорили, у меня есть способности к работе с техникой;Людям нравится мое творчество;У меня есть способности к работе с растениями и животными;Я могу ясно излагать свои мысли в письменной форме;Я почти никогда ни с кем не ссорюсь;Люди одобряли мои технические решения;Мне легко даются иностранные языки;Я часто помогаю незнакомым людям;Я провожу много времени за музыкой, рисованием или чтением книг;Мне бы понравилось обучать животных или собирать мной выращенный урожай;В детстве мне нравилось разбирать различную технику;Мне обычно удается убедить людей в своей правоте;Я люблю наблюдать за поведением зверей;Я люблю читать научно-популярную, критическую литературу, публицистику;Стараюсь понять секреты мастерства и пробую свои силы в живописи,музыке и т. п.;Если вам не нравится Ваша профессия, то кем бы Вы хотели работать? ;encoded;Кем вы еще работали от года и больше?;encoded_1
236;236;01.11.2018 12:19:12;Мужской;23;Повар;2;Да;Больше 5 лет;Почти всегда;Почти всегда;Обычно;Почти всегда;Иногда;Почти всегда;Редко;Иногда;Иногда;Обычно;Почти всегда;Почти всегда;Обычно;Иногда;Обычно;Редко;Почти всегда;Почти всегда;Редко;Обычно;Иногда;Обычно;Иногда;Иногда;Трудно решить;Скорее согласен;Согласен;Согласен;Согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Трудно решить;Согласен;Трудно решить;Согласен;Не согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее согласен;Согласен;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Не согласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Мне нравится моя профессия;7;У меня не было других работ;0
237;237;01.11.2018 12:20:11;Мужской;27;Инженер;2;Да;Больше 5 лет;Почти всегда;Иногда;Обычно;Почти всегда;Обычно;Иногда;Иногда;Иногда;Иногда;Редко;Обычно;Редко;Обычно;Обычно;Обычно;Иногда;Почти всегда;Обычно;Редко;Обычно;Иногда;Почти всегда;Почти никогда;Обычно;Трудно решить;Согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Трудно решить;Не согласен;Согласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Согласен;Трудно решить;Скорее несогласен;Трудно решить;Не согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Трудно решить;Согласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Скорее несогласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Согласен;Согласен;Скорее согласен;Скорее согласен;Трудно решить;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Нет;Я не знаю кем бы я хотел работать;9;Тестирование, ИП, Администрирование;6
238;238;01.11.2018 12:21:35;Мужской;24;Копирайтер;4;Да;1 год;Обычно;Иногда;Редко;Обычно;Обычно;Иногда;Иногда;Редко;Обычно;Обычно;Иногда;Обычно;Иногда;Обычно;Обычно;Почти никогда;Обычно;Иногда;Иногда;Иногда;Редко;Обычно;Обычно;Иногда;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее несогласен;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Мне нравится моя профессия;7;Контент менеджером;4
239;239;01.11.2018 12:24:08;Мужской;24;инженер-конструктор;2;Да;1 год;Почти всегда;Иногда;Обычно;Редко;Редко;Обычно;Обычно;Иногда;Иногда;Редко;Почти никогда;Обычно;Иногда;Иногда;Иногда;Почти никогда;Обычно;Почти никогда;Иногда;Редко;Иногда;Иногда;Редко;Иногда;Не согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Не согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Трудно решить;Согласен;Согласен;Скорее согласен;Согласен;Не согласен;Скорее согласен;Трудно решить;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Скорее согласен;Не согласен;Трудно решить;Не согласен;Скорее несогласен;Трудно решить;Согласен;Согласен;Трудно решить;Согласен;Скорее несогласен;Не согласен;Трудно решить;Согласен;Не согласен;Не согласен;Не согласен;Трудно решить;Скорее согласен;Согласен;Не согласен;Скорее согласен;Не согласен;Скорее согласен;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
240;240;01.11.2018 13:08:38;Мужской;25;Программист;3;Нет;2-3 года;Обычно;Почти всегда;Обычно;Иногда;Иногда;Обычно;Обычно;Обычно;Обычно;Почти никогда;Обычно;Иногда;Редко;Редко;Обычно;Почти никогда;Иногда;Редко;Обычно;Иногда;Иногда;Иногда;Иногда;Иногда;Не согласен;Не согласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Не согласен;Скорее несогласен;Трудно решить;Трудно решить;Не согласен;Не согласен;Скорее согласен;Трудно решить;Скорее несогласен;Согласен;Скорее несогласен;Трудно решить;Не согласен;Согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Трудно решить;Скорее несогласен;Скорее согласен;Не согласен;Не согласен;Согласен;Трудно решить;Согласен;Трудно решить;Не согласен;Трудно решить;Не согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Не согласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Нет;Я не знаю кем бы я хотел работать;9;У меня не было других работ;0
241;241;01.11.2018 13:18:43;Мужской;36;Геодезист;3;Да;Больше 5 лет;Обычно;Редко;Обычно;Обычно;Обычно;Обычно;Редко;Иногда;Редко;Редко;Иногда;Иногда;Обычно;Почти всегда;Обычно;Обычно;Обычно;Обычно;Обычно;Обычно;Иногда;Обычно;Обычно;Редко;Скорее несогласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее несогласен;Согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Да;Да;Да;Нет;Да;Да;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Да;Мне нравится моя профессия;7;Строитель;2
242;242;01.11.2018 13:19:33;Мужской;20;Администратор ресепшн;5;Нет;1 год;Обычно;Иногда;Почти всегда;Почти всегда;Иногда;Иногда;Почти никогда;Иногда;Почти никогда;Почти никогда;Редко;Почти никогда;Обычно;Почти всегда;Редко;Редко;Обычно;Обычно;Иногда;Иногда;Иногда;Редко;Редко;Почти никогда;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Не согласен;Трудно решить;Трудно решить;Согласен;Согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее согласен;Трудно решить;Согласен;Скорее несогласен;Трудно решить;Не согласен;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Согласен;Скорее согласен;Трудно решить;Не согласен;Скорее несогласен;Согласен;Нет;Нет;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет;Нет;Да;Писателем, композитором и т.п.;4;У меня не было других работ;0
243;243;01.11.2018 14:49:36;Мужской;22;Инденер-электроник;3;Да;1 год;Почти всегда;Иногда;Обычно;Иногда;Почти всегда;Обычно;Иногда;Иногда;Иногда;Почти никогда;Обычно;Обычно;Обычно;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Обычно;Иногда;Иногда;Почти всегда;Редко;Не согласен;Трудно решить;Согласен;Скорее несогласен;Скорее несогласен;Согласен;Согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее несогласен;Согласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Не согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Трудно решить;Не согласен;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Да;Нет;Мне нравится моя профессия;7;У меня не было других работ;0
244;244;01.11.2018 14:53:50;Мужской;21;Ремонтник пек/мобилок;2;Да;1 год;Почти всегда;Обычно;Почти всегда;Иногда;Почти всегда;Иногда;Обычно;Почти всегда;Почти всегда;Обычно;Почти всегда;Иногда;Редко;Почти всегда;Почти всегда;Почти никогда;Редко;Обычно;Иногда;Почти всегда;Иногда;Почти всегда;Почти никогда;Почти всегда;Скорее несогласен;Не согласен;Скорее согласен;Не согласен;Скорее согласен;Согласен;Согласен;Не согласен;Скорее несогласен;Трудно решить;Трудно решить;Согласен;Согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Трудно решить;Не согласен;Скорее согласен;Не согласен;Не согласен;Согласен;Согласен;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Трудно решить;Трудно решить;Согласен;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Нет;Прогером;3;У меня не было других работ;0
245;245;01.11.2018 15:32:21;Мужской;20;Программист;3;Да;1 год;Обычно;Иногда;Почти всегда;Иногда;Обычно;Обычно;Редко;Редко;Иногда;Редко;Обычно;Обычно;Иногда;Обычно;Обычно;Редко;Обычно;Иногда;Иногда;Иногда;Редко;Обычно;Почти всегда;Обычно;Не согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее несогласен;Согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Трудно решить;Согласен;Трудно решить;Не согласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Скорее несогласен;Трудно решить;Не согласен;Не согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Не согласен;Согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Согласен;Не согласен;Согласен;Нет;Да;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Мне нравится моя профессия;7;Продавец пиротехники, электромонтажник ;5
246;246;01.11.2018 16:27:59;Мужской;28;IT фриланс;3;Да;Больше 5 лет;Почти всегда;Обычно;Иногда;Редко;Редко;Обычно;Иногда;Иногда;Обычно;Иногда;Редко;Почти никогда;Редко;Редко;Почти никогда;Почти всегда;Иногда;Редко;Иногда;Обычно;Редко;Обычно;Почти всегда;Обычно;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Согласен;Не согласен;Согласен;Согласен;Трудно решить;Не согласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее несогласен;Не согласен;Согласен;Согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Не согласен;Трудно решить;Скорее согласен;Согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Нет;Да;Да;Нет;Нет;Да;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Мне нравится моя работа, но я не стал бы заниматься тем же самым вне фриланса;6;Администратор магазина;5
247;247;01.11.2018 16:43:02;Мужской;32;Программист;3;Да;Больше 5 лет;Обычно;Иногда;Иногда;Иногда;Обычно;Обычно;Редко;Иногда;Обычно;Обычно;Иногда;Обычно;Редко;Почти всегда;Обычно;Редко;Обычно;Редко;Иногда;Редко;Обычно;Обычно;Почти всегда;Обычно;Трудно решить;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Трудно решить;Не согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Трудно решить;Скорее несогласен;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Трудно решить;Скорее согласен;Скорее согласен;Согласен;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Мне нравится моя профессия;7;Сисадмин;2
248;248;01.11.2018 16:46:32;Мужской;24;Softwear enginer;3;Да;Больше 5 лет;Почти всегда;Редко;Обычно;Обычно;Почти всегда;Обычно;Редко;Почти никогда;Иногда;Иногда;Почти всегда;Почти всегда;Редко;Иногда;Почти всегда;Редко;Почти всегда;Иногда;Иногда;Обычно;Иногда;Обычно;Редко;Обычно;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее согласен;Не согласен;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Трудно решить;Не согласен;Скорее согласен;Не согласен;Трудно решить;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Трудно решить;Трудно решить;Скорее несогласен;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Нет;Да;Мне нравится моя профессия;7;У меня не было других работ;0
249;249;01.11.2018 16:51:10;Мужской;30;IT\бюрократ;6;Нет;1 год;Иногда;Почти всегда;Редко;Обычно;Редко;Редко;Обычно;Почти всегда;Почти всегда;Почти всегда;Редко;Иногда;Почти всегда;Редко;Редко;Иногда;Иногда;Почти никогда;Почти всегда;Иногда;Обычно;Редко;Почти всегда;Почти всегда;Не согласен;Скорее несогласен;Скорее несогласен;Согласен;Трудно решить;Скорее согласен;Не согласен;Согласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Скорее согласен;Согласен;Скорее несогласен;Согласен;Не согласен;Трудно решить;Не согласен;Согласен;Не согласен;Согласен;Скорее согласен;Согласен;Трудно решить;Согласен;Согласен;Скорее несогласен;Не согласен;Согласен;Трудно решить;Согласен;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Согласен;Скорее согласен;Трудно решить;Не согласен;Скорее несогласен;Скорее согласен;Согласен;Согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Нет;Да;Нет;Да;Нет;Нет;Да;Да;Я хотел бы вообще не работать;8;У меня не было других работ;0
250;250;01.11.2018 16:53:12;Мужской;30;Юрист;5;Да;3-5 года;Почти всегда;Иногда;Почти никогда;Обычно;Обычно;Обычно;Иногда;Иногда;Иногда;Иногда;Обычно;Иногда;Обычно;Обычно;Редко;Почти никогда;Обычно;Обычно;Редко;Обычно;Редко;Обычно;Почти никогда;Иногда;Согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Согласен;Трудно решить;Трудно решить;Согласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Не согласен;Согласен;Трудно решить;Скорее несогласен;Согласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Не согласен;Скорее согласен;Скорее согласен;Трудно решить;Не согласен;Скорее согласен;Скорее несогласен;Трудно решить;Согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Нет;Нет;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Я не знаю кем бы я хотел работать;9;Строителем, руководителем, эникейщиком, принеси-подай;2
251;251;01.11.2018 17:05:03;Мужской;24;slesar montajnik 4 razryad + student + freelance frontend;6;Да;2-3 года;Обычно;Почти всегда;Иногда;Редко;Обычно;Иногда;Редко;Обычно;Обычно;Обычно;Редко;Редко;Редко;Обычно;Иногда;Почти всегда;Редко;Иногда;Обычно;Редко;Редко;Редко;Редко;Редко;Скорее несогласен;Не согласен;Скорее несогласен;Скорее несогласен;Скорее несогласен;Согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее несогласен;Трудно решить;Скорее несогласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Согласен;Скорее согласен;Скорее согласен;Не согласен;Трудно решить;Скорее несогласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Трудно решить;Трудно решить;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Скорее согласен;Нет;Да;Да;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Мне нравится моя профессия;7;rabota v toy je sfere obslujivanie eskalatorov, motaj, demontaj;2
252;252;01.11.2018 17:23:06;Мужской;26;юрист;5;Да;3-5 года;Почти всегда;Почти никогда;Иногда;Обычно;Обычно;Обычно;Обычно;Почти никогда;Редко;Редко;Почти всегда;Почти всегда;Почти никогда;Почти всегда;Почти всегда;Редко;Почти всегда;Обычно;Редко;Иногда;Иногда;Обычно;Почти никогда;Иногда;Скорее согласен;Не согласен;Скорее согласен;Не согласен;Согласен;Не согласен;Скорее согласен;Согласен;Трудно решить;Не согласен;Скорее несогласен;Скорее несогласен;Скорее согласен;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Трудно решить;Согласен;Скорее несогласен;Скорее согласен;Скорее согласен;Не согласен;Скорее несогласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Не согласен;Не согласен;Скорее согласен;Трудно решить;Скорее согласен;Не согласен;Согласен;Скорее несогласен;Скорее согласен;Не согласен;Не согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее несогласен;Трудно решить;Скорее согласен;Скорее несогласен;Скорее согласен;Да;Да;Нет;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Мне нравится моя профессия;7;продавцом, рабочим на заводе;6
